hero_name,role,defense_overall,offense_overall,skill_effect_overall,difficulty_overall,movement_spd,magic_defense,mana,hp_regen,physical_atk,physical_defense,hp,attack_speed,mana_regen,win_rate,pick_rate,ban_rate,release_year
Terizla,fighter,7.0,8.0,6.0,6.0,255,10,430,54,129,19,2728,0.8,21,47.0,0.15,0.02,2019
Martis,fighter,6.0,8.0,5.0,5.0,260,10,0,35,128,25,2738,0.86,0,45.0,0.15,0.02,2018
Grock,tank,8.0,5.0,6.0,4.0,260,10,430,42,135,21,2819,0.81,12,47.69,0.14,0.02,2017
Carmilla,support,5.0,5.0,9.0,5.0,255,10,430,39,126,25,2528,0.91,16,53.76,0.08,0.02,2020
Irithel,marksman,5.0,5.0,8.0,7.0,260,10,438,35,118,17,2540,0.82,15,51.52,0.38,0.03,2017
Thamuz,fighter,7.0,7.0,7.0,6.0,250,10,0,37,107,22,2758,0.84,0,47.39,0.33,0.03,2018
Leomord,fighter,6.0,8.0,6.0,6.0,240,10,0,35,126,21,2738,0.84,0,50.1,0.31,0.03,2018
Lunox,mage,7.0,5.0,8.0,7.0,240,10,540,34,115,15,2521,0.8,23,49.54,0.24,0.03,2018
Aurora,mage,4.0,5.0,9.0,6.0,240,10,750,34,110,17,2501,0.8,23,47.93,0.23,0.03,2017
Minsitthar,fighter,6.0,7.0,4.0,3.0,260,10,380,37,121,23,2698,0.85,16,50.54,0.17,0.03,2018
Alpha,fighter,7.0,7.0,6.0,7.0,260,10,453,39,121,20,2646,0.96,31,48.5,0.25,0.04,2017
Kimmy,marksman,5.0,7.0,8.0,7.0,245,10,100,40,104,22,2570,0.82,0,54.21,0.16,0.04,2018
Vexana,mage,4.0,5.0,9.0,7.0,245,10,490,38,112,17,2481,0.8,20,50.47,0.1,0.04,2017
Karrie,marksman,3.0,9.0,5.0,9.0,240,10,440,40,120,17,2578,0.83,15,45.19,0.72,0.05,2017
Ruby,fighter,8.0,4.0,6.0,7.0,260,0,430,30,114,23,2859,0.85,14,52.32,0.51,0.05,2017
Belerick,tank,8.0,6.0,6.0,4.0,250,10,450,42,110,15,2719,0.81,12,52.56,0.41,0.05,2018
Lolita,tank,8.0,5.0,7.0,5.0,260,10,480,48,115,27,2679,0.78,12,56.49,0.13,0.05,2016
Akai,tank,8.0,6.0,5.0,4.0,260,0,422,42,115,24,2769,0.85,12,49.28,0.61,0.06,2016
Moskov,marksman,3.0,9.0,5.0,7.0,240,10,420,32,125,16,2455,0.81,15,49.27,0.48,0.06,2017
Freya,fighter,7.0,8.0,5.0,5.0,260,10,462,49,109,22,2801,0.87,14,51.47,0.38,0.06,2016
Harith,mage,5.0,5.0,8.0,8.0,240,10,490,36,114,19,2701,0.84,18,47.92,0.31,0.06,2018
X.Borg,fighter,8.0,7.0,6.0,7.0,260,10,0,39,117,25,1138,0.86,0,48.76,0.99,0.07,2019
Dyrroth,fighter,4.0,9.0,5.0,6.0,265,10,0,41,117,2,2758,0.91,0,46.11,0.87,0.07,2019
Faramis,support,7.0,4.0,7.0,6.0,245,10,500,34,118,20,2543,0.78,19,50.29,0.05,0.07,2019
Hylos,tank,9.0,4.0,6.0,3.0,260,10,430,92,105,17,3309,0.82,12,53.4,0.75,0.08,2017
Clint,marksman,4.0,8.0,5.0,4.0,240,10,450,36,115,20,2530,0.84,15,49.94,0.71,0.08,2016
Lylia,mage,5.0,5.0,8.0,6.0,245,10,500,34,113,17,2501,0.8,19,53.62,0.4,0.08,2019
Gord,mage,4.0,5.0,9.0,7.0,240,10,570,32,110,13,2478,0.77,25,50.24,0.48,0.09,2016
Masha,fighter,7.0,8.0,7.0,7.0,250,10,0,19,101,12,1948,0.8,0,54.13,0.3,0.09,2019
Minotaur,tank,9.0,7.0,5.0,3.0,260,10,0,44,123,23,2709,0.73,0,52.29,0.21,0.09,2016
Cyclops,mage,4.0,4.0,9.0,6.0,240,10,500,38,112,18,2521,0.8,20,52.03,1.07,0.1,2017
Baxia,tank,9.0,7.0,6.0,7.0,240,10,422,42,125,23,2769,0.8,15,53.55,0.44,0.1,2019
Khaleed,fighter,5.0,7.0,5.0,8.0,250,10,0,35,109,23,2778,0.8,0,52.44,0.39,0.1,2020
Bane,fighter,6.0,6.0,5.0,5.0,260,10,422,42,117,23,2659,0.85,12,47.66,0.13,0.1,2016
Bruno,marksman,4.0,9.0,7.0,5.0,240,10,439,30,128,18,2522,0.85,15,48.95,1.15,0.11,2016
Kagura,mage,7.0,6.0,9.0,9.0,240,10,519,35,118,19,2556,0.81,21,53.04,0.71,0.11,2016
Kaja,support,8.0,5.0,8.0,6.0,270,10,400,52,120,16,2609,0.84,12,51.6,0.17,0.11,2018
Popol and Kupa,marksman,3.0,7.0,5.0,7.0,240,10,445,30,98,17,2225,0.8,15,49.4,0.32,0.12,2020
Argus,fighter,5.0,8.0,7.0,5.0,260,10,0,40,124,21,2628,0.91,0,54.26,0.41,0.13,2017
Badang,fighter,6.0,8.0,5.0,6.0,255,10,0,40,119,23,2708,0.9,0,49.78,1.06,0.14,2019
Lapu Lapu,fighter,5.0,7.0,6.0,5.0,260,10,0,35,119,21,2628,0.9,16,49.13,0.76,0.15,2017
Hilda,fighter,8.0,6.0,5.0,4.0,260,10,0,42,123,24,2789,0.84,0,47.08,0.49,0.15,2017
Roger,fighter,5.0,7.0,6.0,5.0,240,10,450,36,128,22,2730,0.84,15,48.33,1.0,0.16,2017
Odette,mage,4.0,4.0,9.0,6.0,240,10,495,34,105,18,2491,0.8,23,49.19,0.75,0.16,2017
Valir,mage,5.0,4.0,9.0,6.0,245,10,495,34,105,20,2516,0.8,18,50.04,0.63,0.16,2018
Granger,marksman,4.0,8.0,5.0,6.0,240,10,0,27,110,15,2490,0.81,0,47.37,1.43,0.17,2019
Estes,support,4.0,4.0,6.0,4.0,240,10,545,36,120,13,2221,0.8,18,51.1,0.16,0.21,2017
Alucard,fighter,5.0,8.0,5.0,5.0,260,10,0,39,123,21,2821,0.9,0,48.92,1.52,0.23,2016
Alice,mage,7.0,5.0,7.0,6.0,240,10,493,36,114,21,2573,0.8,18,50.23,0.37,0.24,2016
Rafaela,support,5.0,4.0,7.0,3.0,245,10,545,36,117,15,2441,0.79,23,49.98,0.18,0.29,2016
Kadita,mage,6.0,4.0,8.0,7.0,240,10,495,36,105,18,2491,0.8,18,50.85,0.51,0.32,2018
Eudora,mage,4.0,5.0,9.0,4.0,250,10,468,38,112,19,2254,0.8,16,48.76,1.69,0.36,2016
Lesley,marksman,4.0,7.0,5.0,6.0,240,10,0,36,131,14,2490,0.82,0,48.92,1.94,0.4,2018
Miya,marksman,4.0,9.0,6.0,3.0,240,10,445,30,129,17,2524,0.85,15,49.11,2.35,0.42,2016
Barats,tank,7.0,6.0,5.0,3.0,268,10,430,42,135,25,2709,0.81,3,46.12,0.1,0.42,2020
Zilong,fighter,7.0,8.0,4.0,5.0,265,10,405,35,123,25,2689,0.96,16,48.05,2.64,0.49,2016
Hanabi,marksman,5.0,9.0,5.0,6.0,245,10,390,30,105,17,2510,0.85,15,52.41,2.04,0.5,2018
Uranus,tank,8.0,4.0,8.0,5.0,260,10,455,32,115,20,2489,0.83,12,49.37,0.69,0.51,2018
Franco,tank,7.0,5.0,4.0,5.0,260,10,440,46,116,25,2709,0.82,10,47.64,2.56,0.52,2016
Pharsa,mage,5.0,4.0,9.0,7.0,240,10,490,34,109,17,2421,0.79,18,47.79,1.41,0.69,2017
Sun,fighter,7.0,7.0,5.0,5.0,260,10,400,41,114,23,2758,0.91,16,51.06,1.85,0.7,2016
Saber,assassin,5.0,8.0,5.0,6.0,260,10,443,35,118,17,2599,0.87,16,46.62,1.55,0.71,2016
Yi Sun Shin,marksman,4.0,7.0,7.0,6.0,250,10,438,36,124,18,2520,0.85,15,55.32,1.19,0.75,2017
Cecilion,mage,5.0,5.0,9.0,6.0,255,10,1150,34,105,20,2516,0.8,50,50.57,1.35,0.77,2020
Chou,fighter,7.0,8.0,5.0,6.0,260,10,0,39,121,23,2708,0.88,0,48.88,3.17,0.82,2016
Chang'e,mage,4.0,4.0,9.0,7.0,240,10,505,34,115,16,2301,0.8,21,52.9,2.07,0.93,2018
Claude,marksman,5.0,9.0,5.0,9.0,240,10,450,40,97,14,2370,0.82,16,51.76,1.33,0.98,2018
Tigreal,tank,9.0,4.0,6.0,3.0,260,10,450,42,112,25,2890,0.82,12,49.82,3.71,1.14,2016
Nana,mage,5.0,5.0,8.0,4.0,250,10,510,34,115,17,2501,0.86,18,46.56,1.99,1.22,2016
Balmond,fighter,7.0,6.0,4.0,3.0,260,10,0,47,119,25,2836,0.85,0,46.3,1.96,1.22,2016
Layla,marksman,2.0,9.0,7.0,4.0,240,10,424,27,130,15,2500,0.85,14,48.09,2.79,1.32,2016
Angela,support,5.0,4.0,8.0,3.0,240,10,515,34,115,15,2421,0.79,18,48.5,1.53,1.36,2018
Atlas,tank,8.0,5.0,7.0,6.0,240,10,440,42,135,21,2819,0.78,15,51.58,0.75,1.53,2020
Harley,mage,4.0,6.0,7.0,6.0,240,10,490,36,114,19,2501,0.84,18,52.53,1.24,1.67,2017
Karina,assassin,4.0,8.0,5.0,7.0,260,10,431,39,121,20,2633,0.9,16,49.9,1.02,1.68,2016
Jawhead,fighter,8.0,8.0,7.0,8.0,255,10,430,39,119,24,2778,0.9,16,50.91,1.59,1.72,2018
Guinevere,fighter,4.0,8.0,5.0,7.0,260,0,0,39,126,18,2528,0.91,0,50.79,2.58,10.02,2019
Aldous,fighter,8.0,8.0,6.0,7.0,260,10,405,49,129,21,2718,0.83,18,51.69,1.15,10.22,2018
Ling,assassin,5.0,8.0,6.0,8.0,260,10,0,39,125,18,2578,0.81,0,48.18,0.46,11.24,2019
Hanzo,assassin,6.0,9.0,5.0,6.0,260,10,0,35,118,17,2594,0.87,0,50.63,0.39,11.32,2018
Paquito,fighter,7.0,5.0,6.0,8.0,260,10,0,39,121,22,2798,0.98,0,47.29,0.76,12.63,2021
Vale,mage,4.0,4.0,9.0,7.0,250,10,490,34,115,15,2401,0.8,21,51.73,1.88,2.24,2019
Zhask,mage,5.0,5.0,9.0,4.0,240,10,490,34,107,15,2401,0.8,20,52.74,0.79,2.32,2017
Gatot Kaca,tank,9.0,5.0,7.0,7.0,260,10,420,42,120,20,2629,0.81,12,52.58,2.03,2.69,2017
Selena,assassin,5.0,6.0,8.0,7.0,240,10,490,34,110,15,2401,0.8,18,51.22,1.31,2.76,2018
Khufra,tank,7.0,5.0,6.0,5.0,255,10,460,47,117,19,2859,0.78,15,51.46,0.98,2.76,2019
Gusion,assassin,6.0,5.0,9.0,9.0,260,10,460,39,119,18,2578,0.89,16,49.7,1.75,2.8,2018
Yu Zhong,fighter,8.0,6.0,8.0,7.0,245,10,430,59,129,21,2898,0.8,16,50.11,1.51,2.87,2020
Wanwan,marksman,3.0,9.0,7.0,8.0,230,10,424,27,100,15,2540,0.82,14,53.26,1.62,20.35,2019
Lancelot,assassin,6.0,10.0,4.0,7.0,260,10,450,35,124,16,2549,0.85,16,46.71,1.42,24.88,2017
Luo Yi,mage,4.0,4.0,7.0,9.0,250,10,520,36,107,20,2601,0.79,23,50.12,0.84,3.21,2020
Hayabusa,assassin,6.0,9.0,5.0,8.0,260,10,10,37,117,17,2629,0.85,0,51.72,1.56,3.44,2016
Diggie,support,6.0,4.0,7.0,3.0,250,10,490,36,115,16,2351,0.8,20,53.93,0.25,3.84,2017
Johnson,tank,9.0,4.0,6.0,5.0,255,10,0,42,115,27,2809,0.82,12,51.19,1.43,32.52,2017
Helcurt,assassin,5.0,9.0,5.0,6.0,255,10,440,35,121,17,2599,0.87,16,48.12,0.49,33.92,2017
Yve,mage,3.0,4.0,7.0,7.0,245,10,490,38,112,17,2481,0.8,20,52.71,0.3,4.22,2021
Mathilda,support,5.0,6.0,8.0,9.0,252,10,430,36,120,22,2551,0.8,3.2,49.13,0.29,4.37,2020
Fanny,assassin,6.0,9.0,5.0,10.0,265,0,0,33,126,19,2526,0.89,0,49.05,0.92,4.48,2016
Esmeralda,mage,7.0,6.0,6.0,4.0,240,10,502,36,114,21,2573,0.8,20,49.14,1.25,42.29,2019
Benedetta,assassin,5.0,6.0,7.0,7.0,260,10,460,33,128,15,2499,0.88,16,52.38,0.72,49.46,2020
Brody,marksman,6.0,9.0,4.0,7.0,253,10,435,36,140,14,2490,0.96,3,51.57,0.71,60.05,2020
Natalia,assassin,6.0,9.0,4.0,6.0,250,10,486,35,121,18,2589,0.89,15,47.76,0.41,61.29,2016
Silvanna,fighter,6.0,6.0,5.0,4.0,255,10,430,39,126,22,2828,0.91,16,52.65,3.06,9.59,2019